gene,pvalue,sidak,holm-sidak,holm,simes-hochberg,hommel,fdr_bh,fdr_by,fdr_tsbh,fdr_tsbky,log2 fold change
Neu4,0.0344780991214,1.0,1.0,1.0,0.5,0.5,0.0595890535561,0.629764661927,0.0263393769291,0.0279772980838,-0.012996212212
Neurl1a,0.00807114320213,1.0,1.0,1.0,0.5,0.5,0.0177202636079,0.187275936675,0.00783265842631,0.00831973437228,-0.0152593402446
Neurl2,0.00182933291641,1.0,0.99999999999,1.0,0.5,0.5,0.00499917466099,0.052833588594,0.00220972037433,0.0023471324231,0.0219481142978
Neurl3,0.00956194103243,1.0,1.0,1.0,0.5,0.5,0.0203969426209,0.21556431773,0.00901579615438,0.00957644583442,0.0338185957247
Neurl4,1.49501989588e-07,0.00325890488835,0.0029474153202,0.00295176728242,0.00295146827845,0.00256694916123,1.55959218379e-06,1.64824910911e-05,6.89366317015e-07,7.32234744656e-07,-0.0227335663224
Neurod1,1.26630060819e-06,0.02726970564,0.0237664179004,0.0240533800525,0.0240495811507,0.0193110842748,9.72297654217e-06,0.000102756910365,4.29772128829e-06,4.56497622883e-06,-0.0468212539258
Neurod2,6.6665310121e-05,0.766744043211,0.67409336026,1.0,0.5,0.484110384419,0.000289603075163,0.00306065916202,0.000128009493377,0.000135969797745,0.0218119577183
Neurod4,8.47762097581e-08,0.00184929179035,0.00168604754812,0.00168747045523,0.00168747045523,0.00149129830585,9.56237306957e-07,1.01059578631e-05,4.2267318171e-07,4.4895722585e-07,0.058320643931
Neurod6,2.29706716743e-05,0.394407163564,0.331136408541,0.402170519674,0.402170519674,0.242845940941,0.000115847325744,0.00122432808676,5.12064917447e-05,5.43907810433e-05,-0.0343078221785
Neurog1,7.14144453104e-07,0.0154716998005,0.0136356132125,0.0137294271109,0.0137276024522,0.0113155877853,5.9561884076e-06,6.29477522302e-05,2.6327367556e-06,2.79645419046e-06,0.043969817129
Neurog2,8.33035803866e-15,1.81804571397e-10,1.81729631343e-10,1.81810064194e-10,1.81810064194e-10,1.80943706958e-10,1.21520532599e-11,1.28428515914e-10,5.37141458326e-12,5.70543742672e-12,0.144894968233
Neurog3,9.98851637992e-07,0.0215728421214,0.0188972411432,0.0190780662856,0.019077067434,0.0155041751249,7.95404601431e-06,8.40620348909e-05,3.51582385656e-06,3.7344562975e-06,-0.0492364076595
Nexn,1.42401696785e-06,0.0306136229252,0.0266173644082,0.0269780014558,0.0269765774389,0.0215140483502,1.07456436327e-05,0.000113564928887,4.74975756616e-06,5.04512250278e-06,0.0566717536578
Nf1,2.34479342611e-05,0.400685153632,0.336593336898,0.410362297503,0.410362297503,0.246789508098,0.000117975773195,0.00124682250326,5.2147301782e-05,5.53900956028e-05,0.0118923702007
Nf2,0.152716800311,1.0,1.0,1.0,0.5,0.5,0.202029390016,1.0,0.0893004324927,0.0948536036212,-0.0056347946725
Nfam1,0.253354031183,1.0,1.0,1.0,0.5,0.5,0.301544871786,1.0,0.133287970945,0.141576518843,0.0107352712877
Nfasc,0.353723712893,1.0,1.0,1.0,0.5,0.5,0.390162016233,1.0,0.172458258618,0.183182621265,0.00288095177769
Nfat5,0.0171288449475,1.0,1.0,1.0,0.5,0.5,0.0331652049497,0.350505215915,0.0146595856448,0.0155711958743,0.0118635962692
Nfatc1,0.366323365506,1.0,1.0,1.0,0.5,0.5,0.400178624145,1.0,0.176885769974,0.187885458592,0.00218502930004
Nfatc2,0.00617499045766,1.0,1.0,1.0,0.5,0.5,0.0141026701182,0.14904353651,0.00623362046858,0.00662125981416,0.0181531706709
Nfatc2ip,0.253355276471,1.0,1.0,1.0,0.5,0.5,0.301544871786,1.0,0.133287970945,0.141576518843,0.0058420134044
Nfatc3,0.00442875565243,1.0,1.0,1.0,0.5,0.5,0.0106735735777,0.112803259233,0.00471790137394,0.00501128532478,0.0113888357453
Nfatc4,0.000466082470462,0.999962033901,0.9991954579,1.0,0.5,0.5,0.00155231979876,0.0164056331646,0.000686151798929,0.000728820330908,0.0267078316948
Nfe2,0.38457257269,1.0,1.0,1.0,0.5,0.5,0.414903397242,1.0,0.183394370559,0.194798798234,-0.00093461380643
Nfe2l1,0.32207584615,1.0,1.0,1.0,0.5,0.5,0.36305271997,1.0,0.160475487791,0.17045469865,0.00200573390718
Nfe2l2,0.176547087266,1.0,1.0,1.0,0.5,0.5,0.226959900345,1.0,0.100320142815,0.106558577559,-0.00170989123619
Nfe2l3,0.00200612966379,1.0,0.999999999999,1.0,0.5,0.5,0.00541184158075,0.0571948433497,0.00239212618374,0.00254088118625,-0.0214347018355
Nfia,0.0117226365477,1.0,1.0,1.0,0.5,0.5,0.0242057921678,0.255818000312,0.0106993725479,0.0113647158734,0.00960891616545
Nfib,0.0920982161604,1.0,1.0,1.0,0.5,0.5,0.134694221704,1.0,0.0595371408659,0.0632394737942,0.0042121111508
Nfic,0.00546080227332,1.0,1.0,1.0,0.5,0.5,0.0127128398393,0.134355167698,0.00561929180585,0.00596872896027,-0.00905476184262
Nfil3,1.7337647038e-11,3.78550982894e-07,3.71199806337e-07,3.71199023084e-07,3.7116434779e-07,3.61750005449e-07,8.84928135907e-10,9.35232958204e-09,3.91153313165e-10,4.15477285903e-10,0.0837219604671
Nfix,0.0535060535986,1.0,1.0,1.0,0.5,0.5,0.0860336677422,0.909243568182,0.0380283469534,0.0403931498157,0.0091654556595
Nfkb1,0.401219829629,1.0,1.0,1.0,0.5,0.5,0.428102961157,1.0,0.189228802699,0.200996046087,0.00435446467098
Nfkb2,0.177787204515,1.0,1.0,1.0,0.5,0.5,0.228336382603,1.0,0.100928571426,0.107204841464,-0.00168781591503
Nfkbia,0.0489501533954,1.0,1.0,1.0,0.5,0.5,0.0799269837915,0.844705309489,0.0353290886036,0.0375260373681,0.0105365711617
Nfkbib,0.0018300301048,1.0,0.99999999999,1.0,0.5,0.5,0.00499917466099,0.052833588594,0.00220972037433,0.0023471324231,-0.0117543968607
Nfkbid,0.0036284399516,1.0,1.0,1.0,0.5,0.5,0.00899437836863,0.0950567480859,0.00397566848198,0.00422289648317,-0.0144960088121
Nfkbie,0.000825759321179,0.999999985324,0.999994757249,1.0,0.5,0.5,0.00252898296266,0.0267274609253,0.00111785355742,0.00118736757798,-0.0190560868507
Nfkbil1,3.06408865806e-05,0.487791426812,0.412133000066,0.531246410587,0.5,0.303007727395,0.000148633087522,0.00157082317184,6.56983570427e-05,6.97838268364e-05,-0.0235882154879
Nfkbil2,0.189294133083,1.0,1.0,1.0,0.5,0.5,0.239917119547,1.0,0.106047454463,0.112642043604,-0.0140620723063
Nfkbiz,0.0556292616832,1.0,1.0,1.0,0.5,0.5,0.0888913863444,0.939445259299,0.0392915072644,0.0417348600863,-0.00427270258183
Nfrkb,0.037912160124,1.0,1.0,1.0,0.5,0.5,0.0644650037356,0.681295957242,0.0284946299832,0.0302665761218,0.00770235858167
Nfs1,0.00861591762175,1.0,1.0,1.0,0.5,0.5,0.0187075931847,0.197710492017,0.00826907492102,0.0087832895427,-0.00870297139988
Nfu1,0.159638015702,1.0,1.0,1.0,0.5,0.5,0.209208890103,1.0,0.0924738938527,0.0982244075192,-0.00506966484532
Nfx1,0.00233347760377,1.0,1.0,1.0,0.5,0.5,0.00617522066792,0.0652625864009,0.00272955274645,0.00289929070944,0.0134543011941
Nfxl1,0.00112462373916,0.999999999979,0.999999909098,1.0,0.5,0.5,0.00330257756797,0.0349031662941,0.00145979555319,0.00155057332765,0.0250738109105
Nfya,0.000581767814971,0.999996967171,0.999846081398,1.0,0.5,0.5,0.00187926597213,0.0198609514496,0.000830667577951,0.000882322862057,-0.0128779513236
Nfyb,0.461668904587,1.0,1.0,1.0,0.5,0.5,0.473712015602,1.0,0.209388781834,0.222409678883,0.00134946961472
Nfyc,0.488484992735,1.0,1.0,1.0,0.5,0.5,0.492363647465,1.0,0.217633120898,0.231166694362,-0.000284490429813
Ng23,0.000142846185624,0.955804239018,0.901893537297,1.0,0.5,0.5,0.000557153203616,0.00588825258965,0.000246271208578,0.000261585649137,0.0238233893702
Ngb,0.174063837186,1.0,1.0,1.0,0.5,0.5,0.224401893524,1.0,0.0991894602179,0.105357583164,0.00342536433343
Ngdn,0.325533077061,1.0,1.0,1.0,0.5,0.5,0.366082403794,1.0,0.16181465966,0.171877147278,0.00230022927291
Ngef,0.151594200233,1.0,1.0,1.0,0.5,0.5,0.20079518126,1.0,0.0887548911945,0.0942741376923,-0.00703276207534
Ngf,0.0211575450508,1.0,1.0,1.0,0.5,0.5,0.0396016989883,0.418529060067,0.0175046256726,0.0185931554724,-0.00717708898043
Ngfr,0.00318524694815,1.0,1.0,1.0,0.5,0.5,0.0080414875956,0.0849861579403,0.00355447452529,0.00377551046834,-0.0149864069375
Ngfrap1,0.000353073752874,0.999551845969,0.995840459189,1.0,0.5,0.5,0.00122034314608,0.012897150449,0.000539412462344,0.000572955969678,-0.0281548118093
Ngly1,0.104596358004,1.0,1.0,1.0,0.5,0.5,0.148800033188,1.0,0.0657721498718,0.0698622084922,0.00697002199718
